Marci 0x1E ivós-társas;Mezõk;Feladat/szöveg 1;Eredmény(Balanszoláshoz);Feladat/szöveg 2;Eredmény(Balanszoláshoz);Feladat/szöveg 3;Eredmény(Balanszoláshoz);Feladat/szöveg 4;Eredmény(Balanszoláshoz)
1;START-Koppány utca 6c;Igyál egy welcome drinket!;Mindenkinek: 1 pia;Otthoni tojcis mafrin extra erõt ad! A következõ dobásod kétszerezõdik.;Rálépõnek:következõ dobás*2;;;;
2;Nefelejcs;Itt csak csupasz punci van. Dobj még egyszer, de azért igyál is egyet, hiszen még növésben vagy!;Rálépõnek:1 pia, Elõrelépni;;;;;;
3;Rákóczi;El akarod terjeszteni a suliban a kidobóst, ehhez elengedhetetlen tudnod a kidobós 5-ös szabályát. Ha nem tudod, 10 fekvõ, ha tudod, mindenki más magábaszívja a tudást és iszik egyet.;;Elkéstél a karate edzésrõl: a következõ dobásodból kettõt vonj le! ( a végeredmény lehet negatív);Rálépõnek:következõ dobásból -2;Ica néni megdícsért matekszakkörön. Jutalmad 1 pia.;Rálépõnek 1 pia;Számlát kértél a kétforintos cukorka után, amiért a NAV megjutalmaz: dobj újra!;Rálépõ: újra dob
4;Dénesbátenisz;Hiába köti be a szemét nem lát tõle jobban! De vajon ez Marcira is igaz? Kösse be a szemét és töltön! Ha mellécsorog, iszik. Ha van olyan jó mint Peter La Fleur, mindenki más iszik. ;Marcinak:iszik VAGY mindenki más;Nem húztad le a pályát edzés után, így le kell húznod egy felest!;Rálépõnek 1 pia;"""Van svungja a bakancsos kurvának!"", adja a jó tanácsot Dénesbá, mielõtt kiállsz Székely Kata ellen, aki csúnyán elver. Gyorsan szerválj magadnak egy piát kompenzációként!";;Annyi labdaérzéked van fiam, mint egy pöcsízû nyalókának! Hagyj fel a sporttal, menj inkább tanulni a telekibe! Lépj az 5-ös mezõre;
5;Teleki;Bealudtál Mihályi fizikaóráján és csak akkor eszmélsz, amikor téged szólít. Felelsz vagy mersz? Ha felelsz: felezd meg a következõ dobásod! Ha mersz: feles és mehetsz tovább zavartalanul!;Rálépõnek:következõ dobás/2  VAGY 1 pia;Egész éjszaka geoházit csináltál, majd másnap le se ellenõrizték. A hírtõl depressziós lettél: Egyet iszol és még ki is maradsz egy körbõl.;Rálépõnek:1 pia, 1 kör kimarad;Túl sokat készültél irodalom órára, pedig Trajer úgy is mindig háromnegyedet ad. Fáradtság miatt a következõ dobásodból vonj le 1-et.;Rálépõnek -1 köv dobásból;Pofándobtak kosárlasztival tesiórán és elhajlott a szemüveged. Következõ alkalommal hétbõl vondd le a dobásodat és annyit lépj.;Rálépõ: 7-dobást lép legközelebb
6;Aliga;Bekeveredtél egy cigánydiscoba! Lobogtasd meg a dollárjaid, hogy mindenki közelebb jöjjön (minden játékos erre a mezõre kerül);Mindenkinek:Idelépnek VAGY semmi;Vízibiciklid defektet kapott. Jó matróz iszik egyet a hosszú úszás elõtt!;Rálépõnek 1 pia;Jól megérdemelt pihenésként elmész pecázni a Balcsira. Egyél egy halászlevet! Ha nincs, kõ-papír-ollózz azzal, aki a legközelebb áll hozzád. Aki veszít, iszik. Ha döntetlen, mindketten isztok!;Csata:1 pia vesztesnek VAGY mindenkinek;Kurvabüdöset szartál a budiban. Az ezen a mezõn állók isznak, hogy elnyomja a szagot. A többiek pedig egy lépéssel távolabb lépnek tõled.;Rálépõ mögöttiek: 1-el hátra, Rálépõ utániak: 1-el elõre, azonos mezõn állók: 1 pia
7;Vadász/HB/Pince/Kaiser;Találsz egy mágikus laposüveget. A következõ három italt ebbe töltöd magad helyett, de vigyázz! Ha megtelik, a VÖR-DZSINN kiszáll belõle és megitatja veled mind! A flaska bármikor átadható egy új szomszédodnak!;Rálépõnek:1 laposüveg Vör-DZSINN;Megyek a Placsiba! A többiek meghívnak egy körre, és azt kell innod, amit õk választanak!;Rálépõnek:1 pia;HB-ba indultál, de otthon ébredtél. Nem tudod mi történt, másnapos se vagy. Helyezd a bábud a Koppány utcába! (1);Rálépõnek:Koppány utcába lépni;Meghúztad a HB-s pultos lányt (még amikor geci jó csaj volt), amitõl új erõre kapsz a városi afterbandázáshoz. Következõ dobásod duplát ér;Rálépõ: 2xdobás
8;Kisgyón;Fröccs Õrmester iszik!;Rálépõnek:Fröccs õrmester;Éjszakai túrán eltévedtél a csoporttal. Egy körbõl kimaradsz. Köszönd meg a Gicának!;Rálépõ: 1 körbõl kimarad;Elakadt a fûnyíró a kaszanyûg bükkönyben. Megkérsz valakit hogy javítsa meg. Õ egy körbõl kimarad és hidratál.;Választottnak:1 pia, 1 kör kimarad;;
9;Sárkánytûz FNM;A Balogh Andrissal döntõzöl. Dobj egyet! Ha páros, legyõzted és továbbmehetsz. Ha páratlan, anyu meglátta, hogy kártyázni mentél és elveszi a reanimator dekkedet. Menj vissza tanulni a Telekibe (5-ös mezõ)!;Rálépõnek:semmi VAGY Telekire lépni;Nagy rutinnal lecápázod a kezdõ játékost. A leghátrébb levõ ellenfeled iszik egyet.;Utolsó ellenfél:1 pia;Bontottál egy BOP-ot, hát bonts egy sört! Igyál egyet!;Rálépõ: 1 pia;;
10;West/Alba;Ezen a bulin lehetsz Somos*! Választhatsz egy Somos-t és cserélj vele helyet. (A mezõket a csere nem aktiválja);Rálépõnek:Helycsere;Westben kinyitott a bárpult! Minden haverodat meghívod egy piára.;Mindenki iszik 1 piát;Westbõl hazafelé megállít a rendõr, de igazolvány helyett csak a Drinking counter van nálad! Ha a játékosátlag alatt fogyasztottál, a rendõr hív meg felesre. Egyébként egy körbõl kimaradsz!;Rálépõ: Iszik vagy vezet;;
11;Elõszilveszteri DOTA party;Rádultiztak! Meghaltál. A jutalmad tíz fekvõ.;Rálépõnek:10 fekvõ;Somi, te mért vagy kék? Kiderül, hogy az nem is Somi, hanem egy pohár víz. Idd meg!;Rálépõnek:1 víz;Backelj! Válassz ki egy játékost. A felkiálltásra mindenki hátralép eggyel, kivéve egy kiválasztott játékos, aki a lassú felfogása miatt meghal. Jutalma 10 fekvõ.;Választott:10 fekvõ, Mindenki más: Visszalépni;Oboázd le Grant's mágust! Ha egyet iszol, hálából felreptet és egy mezõvel lejjebb rak (Lépj elõre 6 mezõt)!;Rálépõ:semmi vagy 1 pia és 6 mezõ elõre
12;Berlin/Erlangen/München;Berlin helyett valahol nagyon máshol kötöttél ki... Ha te vagy az utolsó, GO WEST (10)! Különben lépj a leghátsó játékos mellé. ;Rálépõnek:Visszalépni VAGY Westre lépni;Do you give me a blowjob tonight? Elviszel egy román csajt szobára. Egy körbõl kimaradsz;Rálépõ: 1 körbõl kimarad;Októberfest everyday! Dobj be egy littyó sört a haverokkal. Gesundheit!;Mindenkinek:2 sör;Októberfestes utolsó sör a pult alól! 1liter sört osszatok szét a mezõn állók közt testvériesen!;Mezõn állók: összesen 1liter sör
13;Random hely Kínában;Kínában valamiért még nem találták fel az alkoholt. Bárki hívna, nem ihatsz, max vizet.;Rálépõnek:Ezen a mezõn nem iszol;Szobát foglaltál a 4. emeleten, de sehol nem találod. Nem a szobát, az emeletet. Keresés során egy körbõl kimaradsz.;Rálépõnek:1 kör kimarad;Nehezen igazodsz el kínában google fordítóval. Egy körbõl kimaradsz.;Rálépõnek:1 kör kimarad;;
14;Telekis napok;Az ott a Császári Palota, ott meg a Budai vár! Igyál egyet és látogass el Kínába (13)!;Rálépõnek:1 pia, Kínára lépni;Osztálymûsor helyett ellógsz magic-ezni. Lépj vissza a Sárkánytûzbe (9)!;Rálépõnek:Sárkánytûzre lépni;Nagyon szexifiús inget hordasz, de a diszkós csajozáshoz ez nem elég. Igyál egyet, ha még nem vagy eléggé bebaszva;Rálépõ:1 pia, ha még viszonylag józan;;
15;BME;Marcit elkapja a hév, a mé rés láz! Rappelje végig Grandmasta pete számát. Ha azt hitte hogy lefog minket mérni, de nem sikerült, iszik. Ha sikerült, mindenki más iszik!;Marcinak:iszik VAGY mindenki más;Egy polip! Azok pedig biztosan a Balcsiban élnek. Menj vissza Aligára (6)!;Rálépõnek:Aligára lépni;Dobj a ZH jegyért! 1:1 körbõl kimaradsz. 2: Örömittasan menj a Westbe (10). 3,4,5: Jár a sör! 6. Rájössz, hogy a felügyelõ tanár vagy. Mindenkit megbuktatsz, így kimaradnak 1 körbõl.;Rálépõnek: le van írva:D;;
16;Schönherz;Méh-rés labor: józannak kell tûnni holnap, így inkább alszol. A következõ ivásodból kimaradsz, de azért most még igyál egyet!;Rálépõnek:1 körig nem iszol;-Te tudsz kínaiul? -Miért, holnap ZH?? A kínai ZHra nem tanultál semmit. Azonnal menj Kínába (13), majd a BME-re (15). Eztán hajtsd végre a mezõkön található feladatokat a lépés sorrendjében.;Rálépõnek: Visszalépegetni;-Gyere inni! -De holnap ZH! Dobj kockával: ha páratlan, irány a kocsma (19), ha páros, irány a BME (15) és mindenki más iszik!;Rálépõnek:Kocsmára lépni VAGY BMEre lépni, Mindenki más:1 pia;;
17;Schönherz Qpa;Édesapám, saját maga felé dõl: mivel három a magyar igazság, egy meg a ráadás, ezért négyen isztok.;Mindenkinek:1 pia;Hádecsakinnák! (magától értetõdik);Mindenkinek:1 pia;6MázsaHomok csapat napokig tartotta az elsõ helyet. Minden csapattag igyon!;Marci:1 pia, Geri:1 pia;Kaszanova bulin lesmároltál egy trogrét. Egy körbõl kimaradsz, míg kihevered.;Rálépõ: 1 körbõl kimarad
18;BME napok;Fellép a Brains! Marci végignyomja a BLÉZING címû szám refrénjét, zenei aláfestéssel együtt. Ha átjött a fesztivál feeling, mindenki más iszik! Különben még nem elég részeg, igyon!;Marcinak:1 pia VAGY Mindenki más:1 pia;Hupsz, a játék exception-t dobott... Te meg dobj be egy felest!;Rálépõ: 1 pia;Bõrös virslibuli! Igyál egyet azzal, akit választasz!;Rálépõnek:1 pia. Választottnak:1 pia;;
19;Pali bácsi/Lusta macska;A szülinapossal iszol egy kilépõt, mielõtt mindketten visszatántorogtok a Schönherzbe (16)!;Rálépõnek:1 pia Marcinak:1 pia. Nekik: SCH-re lépni;A Lusta macskában záróra van. Ragadd meg a söröd és irány a következõ helyszín! Lépj elõre két mezõt, közben idd meg a sört!;Rálépõnek: 1 pia;Mibajlehet! Mibajlett. A Schönherzben (16) ébredsz és egy körbõl kimaradsz.;Rálépõnek: Visszalépni, 1 kör kimarad;;
20;Balcsikör;Vörösre égett a hátad közepe, mert homofób voltál bekenetni. Dobj és lépj vissza annyi mezõt!;Rálépõnek:Visszalépni;Igyál mindenkivel a hagyományra!;Mindenkinek:1 pia;Fogat mosol a kerékpáron, így gyorsabb vagy mindenkinél. Lépj az elsõ játékos elé eggyel.;Rálépõnek:Elõrelépni;Te Marci, ez privátvíz? Igyál egy pohárral!;Rálépõnek:1 víz
21;Morikettõ/Morinégy/Instant;Instantba menet beugrottál Corvin caféba sunázni. A csajok jóarcok voltak, meghívtak 1 piára;Mindenkinek kivéve Marci:1 pia;Elmész Marcival és Gerivel egyedül Morikettõbe, és isztok, mert 600Ft minden koktél;Rálépõ, Marci, Geri: 1pia;Ajjaj! Nem lehet piát bevinni! Akkor huzi vagy buzi! Mindenki aki elõtt bontott sör van, le kell húznia;Néhánynak:1 sör;;
22;Random szilveszteri házibuli;Másnap: nem tudod hol ébredtél. Igyál egy gyógysört! A sörtõl idõutazásban veszel részt: dobj egyet! Ha páros, 24 órát visszautazol az idõben az elõszilveszteri DOTA partyba (11). Ha páratlan, valahol Kínában kötsz ki (13).;Rálépõnek:1 sör, Kínára VAGY DotÁra lépni;Majdnem kiöntötted a sört, ettõl majdnem kifolyt a szemed. De ez nem történt meg. Örömödben isztok a házigazdával, Pajtival;Rálépõ és Pajtee:1 pia;Eszedbe jut, hogy jövõre mindenkinek szülinapja lesz. Mindenki igyon!;Mindenkinek:1 pia;;
23;Paraba;Elestél pohárral a kézben. Dobj kockával és szorozd meg kettõvel, arra a mezõre lépsz vissza.;Rálépõnek:Visszalépni;Belebotlasz egy lánybúcsús csapatba. Ha már volt legénybúcsúd, minden haverod idejön akinek nem volt és együtt buliztok (isztok) a csajokkal.;Mindenkinek:1 pia VAGY Rálépõnek:1 pia, Marcinak:1 pia;;;;
24;Pajti/Somi legénybúcsú;Marci denszelj! Gangnam style ikonikus részét táncolja el! Ha rendesen felcsavarta a szõnyeget, mindenki más iszik. Különben még nem elég részeg, igyon!;Marcinak:1 pia VAGY Mindenki más:1 pia;Pizzaboy, alias Arcimarci vagy Tiszakarádról. Sajnos szalmonellás pizzáid miatt a vevõk meg akarnak verni, így Kínába menekülsz. Lépj a 13-as mezõre.;Rálépõ:Kínára lépni;Legénybúcsún te vagy a sofõr, ergó te vezetsz! Ha van játékos, aki elõtted jár, a mögötted levõ mezõre (23) kerül. Te pedig ma nem iszol.;Rálépõ: a mezõn nem iszik. Mindenki aki a rálépõ elõtt jár ->23;;
25;BGF/Corvinus;Boobs. Boobs everywhere. A sok suna elvette az eszed... Igyál egyet és a többiek döntik el melyik másik suliba cipelnek vissza (BME 15, Teleki 5, Rákóczi 3);Rálépõnek:Visszalépni;Egy hétvége alatt teljesítetted a szemesztert. Erre minden haveroddal iszol.;Mindenkinek:1 pia;Tiszta a víz, igyál egy kortyot!;;;
26;EFOTT/Sziget/Strand;ANYÁRRA iszunk! Mindenki iszik!;Mindenkinek:1 pia;Ennyi még nem üt ki, nem üt ki, nem üt ki ennyi! Nyomj egy moonwalkot Marcival! Akié szebb, az dönti el ki iszik!;Csata: Gyõztes mondja meg ki iszik;Bikicsunáj: te döntöd el, ki iszik egy sört.;Választottnak:1 sör;;
27;MCGILL Montreal;Kanadában drága a pia: igyál vizet!;Rálépõnek:1 víz;Eleged van a buzikból, menj vissza Európába! Igyál és az alapján mész egy Európai településre: 0 esetén Aliga(6) , 1 esetén: Kisgyón (8), 3 esetén: Berlin(12), 4esetén: Bécs(28), 2esetén: elõzõek közül random.;Rálépõnek:Visszalépni;Tibike meghívott harcsapaprikásra, ami annyival jobban hangzik, mint a kanadai babkonzerv, hogy hazarepülsz és elbringázol hozzá. Lépj a 20-as mezõre;Rálépõnek: Visszalépegetni;Betértél egy A&W-ba. Egyél valamit, de ha nem PUTIN, kimaradsz egy körbõl;Rálépõ: 1 kaja + valszeg 1 körbõl kimarad
28;Bécs;Látogass el Ausztria fõvárosába, Berlinbe (12)!;Rálépõnek:Berlinre lépni;Megtaláltad Bobby Muscle wiener schnitzelét. Menj kondizni a schönherzbe (16), de elõtte nyomj le 10 fekvõt.;Rálépõnek: 10 fekvõ. Visszalépni;Welcome to Maria Stiffel Frasse! A kultúra megérintett, igyatok bort, de szigorúan egy pohárkával.;Rálépõnek: 1 bor;;
29;Karantén;15 hét karanténba kerültél. Igyál egyet egyedül és mivel utálsz egyedül inni, menj hát vissza az egyik spanodhoz.;Rálépõnek:1 pia, Visszalépni;Az ÁNTSZ tesztet rendelt el. Akkor huzi, vagy pozi: igyál meg 2 felest! Ha pozi(tív a teszt), menj vissza a legközelebbi felfedetlen helyszínre (ha nincs, ittmaradsz) és nem szabadulhatsz 2 körig.;Rálépõnek: 2 pia VAGY Visszalépni, 2 kör kimarad;Szlovák román tátrateával öblögettél, így elkaptad a vírust. Egy körig karanténban maradsz, hacsak nem csinálsz két negatív tesztet(2xfeles);Rálépõnek:2 pia/1kör kimarad;;
30;FINISH-Zürich;Kilõnek ágyúból és ismeretlen helyen érsz földet! Irány az elsõ felfedetlen mezõ!;Rálépõnek:Visszalépni;Ha nem Marci&30 éves vagy, lépj zurück oda ahonnan jöttél. Máskülönben gratulálunk a gyõzelemhez, és boldog szülinapot kívánunk:)));Rálépõnek:Visszalépni;Svájcba értél és meglátogatod Marcit. Marci ide kerül és isztok a gyõzelemre. Gratula a gyõzelemhez!:)));Rálépõknek: 1-1pia;;
